step,train/total_loss,train/recon_loss_weighted,train/mmd_loss,train/triplet_loss_weighted,train/grad_norm,train/lr,train/smooth_total_loss
0,2.219036743044853,0.2547055445611477,0.08429159969091415,1.8800395801663399,0.1995511632412672,0.0001,2.219036743044853
1,2.1515701711177826,0.23914524912834167,0.10262003540992737,1.8098049089312553,0.23614628799259663,0.0001,2.185303457081318
2,2.073948472738266,0.22070354782044888,0.11806343495845795,1.7351814955472946,0.25024332851171494,0.0001,2.148185128966967
3,2.008308693766594,0.20514565147459507,0.12888754159212112,1.67427546530962,0.2429169826209545,0.0001,2.113216020166874
4,1.967921368777752,0.19812230672687292,0.13179867714643478,1.6380003914237022,0.23741051461547613,0.0001,2.0841570898890494
5,1.935342587530613,0.1960233449935913,0.12542925775051117,1.6138899773359299,0.2368153240531683,0.0001,2.05935467282931
6,1.9004215076565742,0.19457142986357212,0.11629984527826309,1.589550219476223,0.2400402557104826,0.0001,2.0366499349474907
7,1.870187632739544,0.1939826998859644,0.10684734582901001,1.5693576037883759,0.23554888647049665,0.0001,2.0158421471714973
8,1.8639309257268906,0.1934502711519599,0.09850628674030304,1.5719743743538857,0.22440797463059425,0.0001,1.998963122566541
9,1.8831591308116913,0.19276496674865484,0.09171924740076065,1.5986749157309532,0.21417974215000868,0.0001,1.9873827233910561
10,1.8997923955321312,0.1916988855227828,0.08730372041463852,1.6207897812128067,0.21245048940181732,0.0001,1.9554582886397838
11,1.9118937775492668,0.19059227406978607,0.0817958191037178,1.6395056769251823,0.21115106157958508,0.0001,1.9314906492829322
12,1.9128837883472443,0.18995966762304306,0.07582291215658188,1.6471012085676193,0.22087910026311874,0.0001,1.91538418084383
13,1.8928569182753563,0.1897997409105301,0.07008787244558334,1.6329692974686623,0.2303426144644618,0.0001,1.9038390032947063
14,1.8101107776165009,0.18967916164547205,0.06324976682662964,1.5571818351745605,0.26053724344819784,0.0001,1.8880579441785812
15,1.6828680410981178,0.18921211548149586,0.06299959868192673,1.430656336247921,0.26336459536105394,0.0001,1.8628104895353317
16,1.6471751853823662,0.18682185001671314,0.06713657826185226,1.3932167738676071,0.2551820920780301,0.0001,1.837485857307911
17,1.6123230084776878,0.18566751666367054,0.06968484073877335,1.3569706454873085,0.2584445318207145,0.0001,1.8116993948817253
