step,train/total_loss,train/recon_loss_weighted,train/mmd_loss,train/triplet_loss_weighted,train/grad_norm,train/lr,train/smooth_total_loss
0,1.3145841725134964,0.8047956262478988,0.017169769015608793,0.4926187780342604,0.23632508551960357,0.0001,1.3145841725134964
1,1.2362143776633523,0.7508367739225689,0.016117693419661818,0.4692599091090654,0.22513961414115852,0.0001,1.2753992750884242
2,1.2269633834441882,0.7127188566769139,0.016204648325888162,0.49803987815619655,0.2104170079294004,0.0001,1.2592539778736789
3,1.1872429745048998,0.7003559835219497,0.015245089405461362,0.4716418991533763,0.2128553157716847,0.0001,1.241251227031484
4,1.152120237430317,0.6908087398161729,0.013660008542275314,0.4476514880737049,0.24391481266067358,0.0001,1.2234250291112505
5,1.1518529451064516,0.6842360860137848,0.01389678785105071,0.4537200701721547,0.26640199196110503,0.0001,1.2114963484437842
6,1.1567223057792517,0.679090624791013,0.014784727370339718,0.462846952263248,0.28498375385500596,0.0001,1.2036714852059938
7,1.1661708816957246,0.6751366944974689,0.015670058544743005,0.4753641266571848,0.2985723510954939,0.0001,1.1989839097672101
8,1.1722941544067347,0.6711606056781477,0.016150119487178382,0.48498342888492146,0.32711723831852085,0.0001,1.196018381393824
9,1.1779430502909793,0.6670164721149007,0.016331564866754997,0.4945950116694829,0.3267705910193007,0.0001,1.1942108482835396
10,1.1813300231997477,0.6635731035157254,0.01624820363578614,0.5015087176880768,0.3261718169282498,0.0001,1.1808854333521646
11,1.1813648075007936,0.6602805550588945,0.01629143012197394,0.5047928244588478,0.334869364909293,0.0001,1.1754004763359087
12,1.1842250918087207,0.658063087737161,0.01638392398231908,0.5097780816577838,0.3416983251366319,0.0001,1.171126647172362
13,1.1815434103947506,0.6553557127286372,0.01625572979165036,0.5099319710115496,0.33342690190131014,0.0001,1.1705566907613472
14,1.1769114091065511,0.6527822630827507,0.01617252940766549,0.5079566170439196,0.3350144286582059,0.0001,1.1730358079289707
15,1.1748680640635878,0.6498884028224854,0.015970842404799027,0.5090088190501957,0.32601589623963434,0.0001,1.1753373198246844
16,1.1642864945402556,0.647431871965171,0.01570111427580911,0.501153510081711,0.30430379935927937,0.0001,1.1760937387007846
17,1.1583159913857017,0.6459216469782961,0.015390687582025117,0.4970036580374366,0.30398275475040004,0.0001,1.1753082496697824
18,1.1577092243723892,0.6437076702357479,0.015345329302920109,0.49865622312258306,0.29883840728248134,0.0001,1.173849756666348
19,1.1457619108081434,0.6416706079216095,0.01508648515317999,0.48900481702037973,0.29077919089551746,0.0001,1.1706316427180643
20,1.136740816552103,0.6393198650419427,0.014789666285355125,0.4826312878628097,0.28874857317317615,0.0001,1.1661727220532998
21,1.1266747735904163,0.6387286502778815,0.014420766009098035,0.4735253563765704,0.25899561665702664,0.0001,1.160703718662262
22,1.1148182324815594,0.6375071437735307,0.014197855189656527,0.4631132380814073,0.2678832557212793,0.0001,1.1537630327295458
23,1.102500887008375,0.6360776966268366,0.01397216548189592,0.45245102432926304,0.2627939918038377,0.0001,1.1458587803909082
24,1.0957269086792139,0.6348778189084177,0.013850988383498488,0.4469981006743235,0.2799337786849606,0.0001,1.1377403303481748
25,1.0928680152413948,0.6333357094292436,0.013822656499141711,0.44570964646111266,0.28925868654935555,0.0001,1.1295403254659553
26,1.0903764462642123,0.6313920428878382,0.013669276351563668,0.445315126810918,0.28051891470212115,0.0001,1.122149320638351
27,1.0823924227764732,0.629590307981774,0.013492499241988625,0.43930961448324923,0.2917440839147454,0.0001,1.1145569637774282
28,1.0794043580881145,0.6284348104844253,0.013473432315023322,0.4374961150034763,0.2911920956376067,0.0001,1.1067264771490006
29,1.075245268322064,0.6266538015963358,0.013378597332530044,0.4352128673968703,0.29269891752723304,0.0001,1.0996748129003924
30,1.0696108904466675,0.6253973285547284,0.01319020273582787,0.43102336058205964,0.29447098685936496,0.0001,1.0929618202898492
31,1.066460796092686,0.6241621698774219,0.013057548748819451,0.42924107718125487,0.28771189671526687,0.0001,1.0869404225400763
32,1.0572584479619442,0.6221209045802577,0.012951323860570005,0.4221862167226926,0.2960900516030891,0.0001,1.0811844440881146
33,1.0544988406046727,0.6213387018470673,0.012854898089997506,0.4203052380296032,0.2973262774958565,0.0001,1.0763842394477443
34,1.0465936463985717,0.6206858940957266,0.012700401709980942,0.41320735080675647,0.2957209453842286,0.0001,1.07147091321968
35,1.042500200311533,0.6199747155727953,0.012564861603330767,0.4099606237057864,0.30196309977313546,0.0001,1.066434131726694
36,1.0363532193539815,0.6187988734986793,0.012435225778789612,0.40511911736721057,0.30790826746008615,0.0001,1.0610318090356707
37,1.0375470064188306,0.6181911533814298,0.01227930943931689,0.40707654481013994,0.3043616258641749,0.0001,1.0565472673999066
38,1.0376071405182614,0.6179815623463626,0.01219521070781507,0.4074303667867583,0.3124375719773142,0.0001,1.0523675456429211
39,1.0363619628420286,0.6171239955288371,0.012166881675355172,0.40707108178777557,0.3175169797391412,0.0001,1.0484792150949178
40,1.0332052265628102,0.6161766149210588,0.01215673462625896,0.4048718777284668,0.32346805338369033,0.0001,1.044838648706532
41,1.0311497524024196,0.6157553655108766,0.012063475316791443,0.4033309097210186,0.32277201287198864,0.0001,1.0413075443375053
42,1.0279169923951181,0.6147710568311682,0.012051897471030934,0.4010940378790267,0.3306977066554521,0.0001,1.038373398780823
