step,train/total_loss,train/recon_loss_weighted,train/mmd_loss,train/triplet_loss_weighted,train/grad_norm,train/lr,train/smooth_total_loss
0,0.8997186869382858,0.25415948033332825,0.07806149870157242,0.5674977041780949,0.05995867075398564,0.0001,0.8997186869382858
1,0.8734043054282665,0.24103294219821692,0.0774836391210556,0.5548877194523811,0.06984921940602362,0.0001,0.8865614961832762
2,0.8381990045309067,0.22464087139815092,0.0799536257982254,0.5336044952273369,0.0799014144577086,0.0001,0.8704406656324863
3,0.8015610240399837,0.20903279911726713,0.08179065585136414,0.5107375718653202,0.0805521011352539,0.0001,0.8532207552343607
4,0.7754250802099705,0.20015235804021358,0.07881535589694977,0.49645736441016197,0.07860962860286236,0.0001,0.8376616202294827
5,0.7550177648663521,0.19699692633002996,0.07115806639194489,0.48686275631189346,0.07603610912337899,0.0001,0.8238876443356276
6,0.7390928976237774,0.19594061467796564,0.06439953297376633,0.4787527434527874,0.07415212970227003,0.0001,0.8117741090910775
7,0.7257017828524113,0.19547979347407818,0.05918283760547638,0.471039155498147,0.07382416445761919,0.0001,0.8010150683112442
8,0.7182868644595146,0.19473381899297237,0.05602964013814926,0.4675234090536833,0.07286875694990158,0.0001,0.7918230456610521
9,0.71992052718997,0.19357040524482727,0.054228268563747406,0.4721218552440405,0.0702999928034842,0.0001,0.7846327938139439
10,0.7191513553261757,0.19242242258042097,0.051431745290756226,0.4752971790730953,0.07012090273201466,0.0001,0.7665760606527329
11,0.7177573330700397,0.19107022043317556,0.048443153500556946,0.47824395820498466,0.07032127492129803,0.0001,0.7510113634169102
12,0.7137000672519207,0.19036773405969143,0.046644434332847595,0.47668789327144623,0.07005406729876995,0.0001,0.7385614696890116
13,0.7089544609189034,0.1890945164486766,0.043781839311122894,0.4760781079530716,0.07060598488897085,0.0001,0.7293008133769036
14,0.7011259458959103,0.18863914720714092,0.04346608370542526,0.4690207149833441,0.07062669890001416,0.0001,0.7218708999454975
15,0.6857444159686565,0.18852341175079346,0.04474335163831711,0.4524776544421911,0.0766216441988945,0.0001,0.714943565055728
16,0.6792848445475101,0.1865888200700283,0.04947569966316223,0.4432203285396099,0.07679124502465129,0.0001,0.7089627597481012
17,0.6679615005850792,0.18502397276461124,0.052805282175540924,0.4301322419196367,0.08622791478410363,0.0001,0.7031887315213681
18,0.6568777672946453,0.18493393436074257,0.05478879064321518,0.41715504601597786,0.08335203351452947,0.0001,0.6970478218048811
19,0.6469802558422089,0.1841690931469202,0.05535705387592316,0.4074541125446558,0.07713098591193557,0.0001,0.689753794670105
20,0.643805980682373,0.18352083768695593,0.0567949116230011,0.40349023789167404,0.07994834752753377,0.0001,0.6822192572057247
21,0.6457321457564831,0.18313204776495695,0.057525262236595154,0.40507484041154385,0.07621688116341829,0.0001,0.675016738474369
22,0.6428975462913513,0.18297945894300938,0.057077087461948395,0.4028410017490387,0.08289267588406801,0.0001,0.6679364863783122
23,0.6403994783759117,0.18265107460319996,0.05682805925607681,0.40092033706605434,0.08038596156984568,0.0001,0.661080988124013
24,0.6458832398056984,0.18253908306360245,0.05635397881269455,0.40699017234146595,0.08469337737187743,0.0001,0.6555567175149918
25,0.6454388424754143,0.1823148261755705,0.056395791471004486,0.4067282322794199,0.09000003943219781,0.0001,0.6515261601656676
26,0.6470124535262585,0.18235944863408804,0.055945903062820435,0.4087070971727371,0.09246822725981474,0.0001,0.6482989210635424
27,0.6494227759540081,0.18221212923526764,0.05568971484899521,0.41152092814445496,0.08811859413981438,0.0001,0.6464450486004353
28,0.6513668224215508,0.18231477588415146,0.05440843105316162,0.4146436210721731,0.09162078937515616,0.0001,0.6458939541131258
29,0.6537362225353718,0.18221606500446796,0.05491939187049866,0.4166007675230503,0.10171705530956388,0.0001,0.646569550782442
30,0.6570238098502159,0.182208520360291,0.05470658093690872,0.4201087113469839,0.10208090720698237,0.0001,0.6478913336992264
31,0.6589702852070332,0.182108573615551,0.05326910316944122,0.4235926102846861,0.09200301952660084,0.0001,0.6492151476442813
32,0.6560165770351887,0.18213754892349243,0.053398437798023224,0.4204805940389633,0.09226412419229746,0.0001,0.6505270507186651
33,0.6581867337226868,0.18198563624173403,0.052933573722839355,0.4232675228267908,0.0968980360776186,0.0001,0.6523057762533426
34,0.6601784490048885,0.1819325564429164,0.05277144908905029,0.42547444626688957,0.10484441509470344,0.0001,0.6537352971732616
35,0.655382439494133,0.1819652235135436,0.05124667286872864,0.4221705496311188,0.11257497686892748,0.0001,0.6547296568751335
36,0.6641430333256721,0.18235481344163418,0.05249027907848358,0.42929793894290924,0.10078285075724125,0.0001,0.6564427148550749
37,0.6599652767181396,0.18207657244056463,0.051147691905498505,0.42674101144075394,0.10037968261167407,0.0001,0.657496964931488
