step,train/total_loss,train/recon_loss_weighted,train/mmd_loss,train/triplet_loss_weighted,train/grad_norm,train/lr,train/smooth_total_loss
0,2.457888152040363,0.8022465501960955,0.017436605891542573,1.6382049983768372,0.7474547869138171,0.0001,2.457888152040363
1,2.479305826876152,0.7421843997029026,0.017069219116959276,1.7200522029228758,0.5264057017969743,0.0001,2.4685969894582573
2,2.235300614217822,0.7200797666488081,0.013757341786434776,1.501463503073277,0.6434430279657601,0.0001,2.3908315310447787
3,2.2111821653740256,0.7103627468125101,0.011421482813985724,1.4893979276196239,0.8635998334040482,0.0001,2.3459191896270903
4,2.089103348517532,0.7056547470355148,0.01064028836893693,1.3728083121149164,0.8934161995301406,0.0001,2.294556021405179
5,2.0343556150294946,0.6992304081266577,0.010300482859451805,1.324824722474842,0.9525481955856798,0.0001,2.251189287009231
6,2.0194698706197967,0.6966665616731325,0.010078887905230363,1.3127244213266236,0.97510986051491,0.0001,2.2180865132393124
7,1.9724631355139628,0.6939694838660756,0.0099283083203877,1.2685653426145251,0.941849267083492,0.0001,2.1873835910236434
8,1.9097372025393984,0.690408357735456,0.009843484636699184,1.2094853588125922,0.9494709345427427,0.0001,2.156533992303172
9,1.8961897977231221,0.6882559066754209,0.00951901833976855,1.1984148687152771,0.9372563621644198,0.0001,2.130499572845167
10,1.8837186619995885,0.6857782163118061,0.009277436721838263,1.1886630056862626,0.9497182598809877,0.0001,2.0730826238410893
11,1.8824855690937863,0.6838851157558021,0.009024557314421,1.1895758988754601,0.9519714285312086,0.0001,2.013400598062853
12,1.8973400849474675,0.6823395405089456,0.00888090612785668,1.2061196343180096,0.9711089855033245,0.0001,1.9796045451358175
13,1.8961717583346025,0.680854922846744,0.00881827162783682,1.2064985657137546,0.9947702298609263,0.0001,1.948103504431875
14,1.8951502339691637,0.6799740056957354,0.008601497520099987,1.206574731038518,0.9684992655042256,0.0001,1.9287081929770384
15,1.9112817722074154,0.6778309497821844,0.008553481273103559,1.2248973364464975,0.9712004650152471,0.0001,1.9164008086948308
16,1.9055274476845299,0.6761160318931324,0.008485729614513342,1.2209256878880221,0.977501027749486,0.0001,1.905006566401304
17,1.9088889112312828,0.6746081108111514,0.008398718240728789,1.2258820784719366,0.9646440988237207,0.0001,1.8986491439730357
18,1.8904852792977147,0.6730920492747183,0.008368544030988046,1.2090246829975164,0.9666567422699129,0.0001,1.8967239516488672
19,1.8866993725014645,0.6716083462158459,0.00841482176164691,1.2066762073758686,0.9763274028825988,0.0001,1.8957749091267015
20,1.8609233201976028,0.668288424682389,0.008435213965091979,1.1841996815501217,0.9414793980178651,0.0001,1.893495374946503
21,1.8335550935074474,0.6664620040421281,0.008490407295774615,1.1586026834528982,0.9658310881071683,0.0001,1.888602327387869
22,1.812199693262292,0.6639321888462778,0.008457980372688988,1.1398095226173766,0.9754747600076301,0.0001,1.8800882882193517
23,1.7898556022552783,0.662010595701528,0.008431939702284964,1.119413064427353,0.9604164916647678,0.0001,1.8694566726114192
24,1.7766135454748235,0.660403731622194,0.008358335951298618,1.1078514778300335,0.9830467442861585,0.0001,1.857603003761985
25,1.7597076485031529,0.6582615753395136,0.008325720517829274,1.0931203485105596,0.9789242492052928,0.0001,1.8424455913915587
26,1.7531829961178975,0.6567397103355261,0.008229455594240764,1.0882138303307254,0.978029002413225,0.0001,1.8272111462348957
