step,train/total_loss,train/recon_loss_weighted,train/mmd_loss,train/triplet_loss_weighted,train/grad_norm,train/lr,train/smooth_total_loss
0,0.8618108497725593,0.2678060355009856,0.02185515562693278,0.5721496586446408,0.05441049224248639,0.0001,0.8618108497725593
1,0.8278009339615151,0.2552250971396764,0.02061754685861093,0.5519582783734357,0.06505262134251771,0.0001,0.8448058918670371
2,0.7847166569144638,0.23845171266131931,0.019187375351234718,0.5270775755246481,0.0642042602929804,0.0001,0.824776146882846
3,0.7590023389569035,0.2261358952080762,0.01865696907043457,0.514209473574603,0.05981477184428109,0.0001,0.8083326949013604
4,0.7443027054822003,0.21899610537069816,0.0185183463273225,0.506788244953862,0.059007178992033005,0.0001,0.7955266970175284
5,0.729291370621434,0.2167996162617648,0.01867081059349908,0.49382093990290604,0.059783987838912894,0.0001,0.7844874759515127
6,0.7272298291877464,0.2162412973465743,0.019111801076818397,0.4918767324200383,0.056680664834049016,0.0001,0.7763078121281175
7,0.7410740719901191,0.21318082842561933,0.019654322553564002,0.5082389204590408,0.05419094391443111,0.0001,0.7719035946108677
8,0.7519511801225168,0.2112889168439088,0.019644547391820838,0.5210177103678385,0.05433320226492705,0.0001,0.7696866596677175
9,0.7576713716542279,0.21052928213719968,0.019707547293768987,0.5274345344967313,0.051898228073561634,0.0001,0.7684851308663686
10,0.762585511914006,0.21006758511066437,0.01992060520030834,0.532597318843559,0.051464556957836506,0.0001,0.7585625970805132
11,0.7667357126871744,0.21038926089251483,0.01978825639795374,0.5365581953967059,0.05159642768126947,0.0001,0.7524560749530792
12,0.769462819452639,0.2095453844026283,0.020134568214416504,0.5397828684912788,0.05296266423883261,0.0001,0.7509306912068968
13,0.768705427646637,0.20889859453395562,0.019855088657803006,0.5399517394878246,0.05466710776090622,0.0001,0.75190100007587
14,0.7710006303257413,0.20871375997861227,0.020188543531629775,0.54209832350413,0.05722805181587184,0.0001,0.7545707925602242
15,0.7696904473834567,0.2081003084226891,0.020011985743487323,0.5415781515615957,0.05960363411793002,0.0001,0.7586107002364265
16,0.763985068709762,0.20727891171420063,0.01971330024577953,0.5369928567497818,0.0590345551846204,0.0001,0.762286224188628
17,0.7485078506999545,0.2069543417957094,0.020055801780135545,0.5214977065722147,0.05486500483972055,0.0001,0.7630296020596117
18,0.749726015108603,0.2070375813378228,0.020016003538061072,0.5226724302327191,0.057067585074239306,0.0001,0.7628070855582202
19,0.7514226193781253,0.2079311548559754,0.020230982038709853,0.5232604830353348,0.05741690333794664,0.0001,0.76218221033061
20,0.7516540068167227,0.20702773608543254,0.01984526934447112,0.5247809931083962,0.057845164090394974,0.0001,0.7610890598208816
21,0.7490778057663529,0.20722917881276873,0.01997207270728217,0.5218765492792483,0.05538504791480524,0.0001,0.7593232691287994
22,0.7455946957623517,0.20575683536352934,0.019929422272576228,0.5199084370224564,0.05592995909629045,0.0001,0.7569364567597707
23,0.7395912806193033,0.20539947737146308,0.01991185877058241,0.5142799328874659,0.05202487318052186,0.0001,0.7540250420570372
24,0.735687913718047,0.2052079400530568,0.01975373427073161,0.5107262355309946,0.05123736516193107,7e-05,0.750493770396268
25,0.7225816580984328,0.2048104719983207,0.019698045871875906,0.4980731352611824,0.05621891344587008,7e-05,0.7457828914677656
26,0.6521929259653445,0.2054672478525727,0.019643527490121347,0.42708214896696584,0.04989970544422114,7e-05,0.7346036771933238
27,0.6447479504126089,0.2048230552011066,0.019228555538036204,0.42069634132915074,0.05286138766893634,7e-05,0.7242276871645893
28,0.654949254459805,0.20484092169337803,0.018812682893541124,0.43129565428804467,0.055252758855069126,7e-05,0.7147500110997094
29,0.6638538263462208,0.20460175916000647,0.018581363889906142,0.44067070219251847,0.05346440675633925,7e-05,0.7059931317965191
30,0.6703607594525373,0.20412781337896982,0.018388593638384784,0.44784435519465693,0.05408522831620993,7e-05,0.6978638070601004
31,0.6708315986174124,0.20374877254168192,0.01820465370460793,0.4488781690597534,0.05608106183784979,7e-05,0.6900391863452063
32,0.6761761572625902,0.20375659896267784,0.01804145618721291,0.4543781048721737,0.06310693078019002,7e-05,0.6830973324952303
33,0.6760356779451724,0.20345328582657707,0.017882722395437735,0.45469967082694723,0.06687561739925985,7e-05,0.6767417722278172
34,0.6818523716043543,0.20321825643380484,0.017836235187671804,0.46079787611961365,0.06173601898330229,7e-05,0.6713582180164479
35,0.6805918967282331,0.20278986460632747,0.017750355932447646,0.4600516778451425,0.0615159142072554,7e-05,0.6671592418794279
36,0.6815877623028226,0.2024534692366918,0.017691373825073242,0.4614429197929524,0.060463446019976226,7e-05,0.6700987255131757
37,0.6791210064181575,0.20302882459428576,0.017633676528930664,0.4584585063987308,0.06154140084981918,7e-05,0.6735360311137305
38,0.6865004852966026,0.20259768101904127,0.017549223370022245,0.46635358311511854,0.05913427472114563,7e-05,0.6766911541974103
39,0.6860812990753739,0.2032402483401475,0.01757642074867531,0.4652646228119179,0.05861375715445589,7e-05,0.6789139014703256
40,0.6843287701959964,0.2022730796425431,0.017516789612946688,0.46453890204429626,0.06516977192627059,7e-05,0.6803107025446715
41,0.6869976763372068,0.20182949746096576,0.0174773754896941,0.4676907978675984,0.06311807063994584,7e-05,0.6819273103166509
42,0.6878221608974315,0.20200431015756395,0.01745811656669334,0.46835973969212286,0.05950591078510991,7e-05,0.683091910680135
43,0.6848141352335612,0.20248366174874483,0.017415117334436486,0.4649153561503799,0.06609443933875472,7e-05,0.6839697564089741
44,0.6859571381851479,0.202856770268193,0.017405664479290997,0.4656947001262947,0.05975405195796931,7e-05,0.6843802330670533
45,0.6873937028425711,0.20186198419994777,0.017368903866520635,0.4681628169836821,0.06412035847703616,7e-05,0.6850604136784871
46,0.6849799862614384,0.20193396674262154,0.017338779237535264,0.46570724469644054,0.061567559424373836,7e-05,0.6853996360743486
47,0.6863223711649576,0.20222406972337653,0.01729230527524595,0.4668059989258095,0.06923685567798438,4.899999999999999e-05,0.6861197725490287
48,0.6856422976211265,0.20154851895791512,0.017304323337696218,0.4667894509103563,0.06690196499780372,4.899999999999999e-05,0.6860339537814811
49,0.6864966109946922,0.20196736741949012,0.017293029361300997,0.46723621531769083,0.06639126067360242,4.899999999999999e-05,0.686075484973413
50,0.690470278263092,0.20137200587325627,0.017204474519800256,0.4718938006295098,0.06088432642044844,4.899999999999999e-05,0.6866896357801224
51,0.6865138588128267,0.20191155870755514,0.017206280319779006,0.4673960131627542,0.06726478274773669,4.899999999999999e-05,0.6866412540276845
52,0.6882488021144161,0.20196925765938228,0.017226444350348577,0.46905310617552864,0.06374607055827423,4.899999999999999e-05,0.6866839181493829
53,0.6877118150393168,0.20174467508439664,0.017203613563820167,0.46876353246194347,0.06432200140423244,4.899999999999999e-05,0.6869736861299586
54,0.6874038753686128,0.20208448944268403,0.017211529943678115,0.4681078526708815,0.06433970839888961,4.899999999999999e-05,0.687118359848305
55,0.6899838977389865,0.20162853046699805,0.01714744391264739,0.47120792004797196,0.06504728520909946,4.899999999999999e-05,0.6873773793379465
56,0.6856664021809896,0.20117103225655025,0.017192800839742024,0.46730256853280244,0.06840992442987583,4.899999999999999e-05,0.6874460209299017
57,0.6896110971768697,0.20131500451653092,0.01709855044329608,0.4711975466322016,0.064754251666643,4.899999999999999e-05,0.6877748935310929
58,0.6896759779364975,0.20124500713966512,0.01713110782482006,0.4712998668352763,0.0638796540874022,3.4299999999999993e-05,0.68817826156263
59,0.688601016998291,0.20084467695819008,0.01713226901160346,0.4706240682690232,0.06315488906370269,3.4299999999999993e-05,0.6883887021629899
60,0.6880907592950044,0.2008798779160888,0.017130158565662527,0.4700807277803068,0.060216592969717805,3.4299999999999993e-05,0.6881507502661812
61,0.6875899721074987,0.20135904848575592,0.017064085713139287,0.46916683625291894,0.07412658411043661,3.4299999999999993e-05,0.6882583615956483
62,0.6896293472360682,0.2010972190786291,0.017084554389671044,0.47144757156018857,0.06062946606565405,3.4299999999999993e-05,0.6883964161078135
63,0.6870912865356162,0.2012947185171975,0.017082099561338073,0.46871446900897556,0.07100953382474405,3.4299999999999993e-05,0.6883343632574435
64,0.6863171060880026,0.20116172399785784,0.01705695081640173,0.46809842741047897,0.06396699738171366,3.4299999999999993e-05,0.6882256863293824
65,0.6862176413889285,0.2013352077316355,0.017033391528659396,0.46784904157673873,0.06324501928907854,3.4299999999999993e-05,0.6878490606943767
66,0.6894007325172424,0.2006519216078299,0.017010896294205276,0.47173792013415583,0.06504925409400905,3.4299999999999993e-05,0.6882224937280019
67,0.6871915768693995,0.20107669631640115,0.01704729927910699,0.46906757906631186,0.07210006854600376,3.4299999999999993e-05,0.6879805416972549
68,0.6899563294869883,0.2017371858711596,0.016985376675923664,0.4712337685955895,0.06925517541390878,3.4299999999999993e-05,0.688008576852304
